手術名称	レセ電CD
試験開頭術　　　　　　　　　　　　　　　	150067210
脳膿瘍排膿術　　　　　　　　　　　　　　	150067510
広範囲頭蓋底腫瘍切除・再建術　　　　　　	150291010
頭蓋内微小血管減圧術　　　　　　　　　　	150069050
頭蓋骨腫瘍摘出術　　　　　　　　　　　　	150069110
頭蓋内血腫除去術（開頭して行うもの）硬膜	150069610
頭蓋内血腫除去術（開頭して行うもの）脳内	150069710
頭蓋内腫瘍摘出術　松果体部腫瘍　　　　　	150070510
頭蓋内腫瘍摘出術　その他のもの　　　　　	150284510
脳動脈瘤頸部クリッピング（１箇所）　　　	150243810
脳動脈瘤頸部クリッピング（２箇所以上）　	150243910
動脈形成術、吻合術（頭蓋内動脈）　　　　	150150310
胸壁悪性腫瘍摘出術（胸壁形成手術を併施）	150123810
胸壁悪性腫瘍摘出術（その他）　　　　　　	150123910
試験開胸術　　　　　　　　　　　　　　　	150124710
胸郭形成手術（膿胸手術の場合）肋骨切除を	150127510
胸郭形成手術（膿胸手術の場合）胸膜胼胝切	150127610
縦隔腫瘍、胸腺摘出術　　　　　　　　　　	150128310
縦隔切開術（頸部からのもの）　　　　　　	150292510
縦隔切開術（経胸腔によるもの）　　　　　	150292710
肺切除術（区域切除（１肺葉に満たないもの	150129810
肺悪性腫瘍手術（部分切除）　　　　　　　	150357810
肺悪性腫瘍手術（区域切除）　　　　　　　	150357910
肺悪性腫瘍手術（肺葉切除又は１肺葉を超え	150358010
肺悪性腫瘍手術（肺全摘）　　　　　　　　	150358110
肺悪性腫瘍手術（隣接臓器合併切除を伴う肺	150358210
肺悪性腫瘍手術（気管支形成を伴う肺切除）	150358310
心膜切開術　　　　　　　　　　　　　　　	150138410
収縮性心膜炎手術　　　　　　　　　　　　	150138710
心腫瘍摘出術（単独）　　　　　　　　　　	150140810
弁形成術（１弁のもの）　　　　　　　　　	150141010
弁形成術（２弁のもの）　　　　　　　　　	150279510
弁置換術（１弁のもの）　　　　　　　　　	150141410
弁置換術（２弁のもの）　　　　　　　　　	150141610
弁置換術（３弁のもの）　　　　　　　　　	150141710
心房中隔欠損閉鎖術（単独）　　　　　　　	150141810
冠動脈、大動脈バイパス移植術（１吻合）　	150145910
冠動脈、大動脈バイパス移植術（人工心肺を	150318410
冠動脈、大動脈バイパス移植術（２吻合以上	150146010
冠動脈、大動脈バイパス移植術（人工心肺を	150318510
動脈塞栓除去術（開胸を伴う）　　　　　　	150149010
大動脈瘤切除術（上行）人工弁置換を伴う基	150359510
大動脈瘤切除術（吻合又は移植を含む）上行	150375870
