日数	手術名称	レセ電CD
7	試験開頭術　　　　　　　　　　　　　　　	150067210
7	脳膿瘍排膿術　　　　　　　　　　　　　　	150067510
7	広範囲頭蓋底腫瘍切除・再建術　　　　　　	150291010
7	頭蓋内微小血管減圧術　　　　　　　　　　	150069050
7	頭蓋骨腫瘍摘出術　　　　　　　　　　　　	150069110
7	頭蓋内血腫除去術（開頭して行うもの）硬膜	150069610
7	頭蓋内血腫除去術（開頭して行うもの）脳内	150069710
7	頭蓋内腫瘍摘出術　松果体部腫瘍　　　　　	150070510
7	頭蓋内腫瘍摘出術　その他のもの　　　　　	150284510
7	脳動脈瘤頸部クリッピング（１箇所）　　　	150243810
7	脳動脈瘤頸部クリッピング（２箇所以上）　	150243910
7	動脈形成術、吻合術（頭蓋内動脈）　　　　	150150310
7	胸壁悪性腫瘍摘出術（胸壁形成手術を併施）	150123810
7	胸壁悪性腫瘍摘出術（その他）　　　　　　	150123910
7	試験開胸術　　　　　　　　　　　　　　　	150124710
7	胸郭形成手術（膿胸手術の場合）肋骨切除を	150127510
7	胸郭形成手術（膿胸手術の場合）胸膜胼胝切	150127610
7	縦隔腫瘍、胸腺摘出術　　　　　　　　　　	150128310
7	縦隔切開術（頸部からのもの）　　　　　　	150292510
7	縦隔切開術（経胸腔によるもの）　　　　　	150292710
7	肺切除術（区域切除（１肺葉に満たないもの	150129810
7	肺悪性腫瘍手術（部分切除）　　　　　　　	150357810
7	肺悪性腫瘍手術（区域切除）　　　　　　　	150357910
7	肺悪性腫瘍手術（肺葉切除又は１肺葉を超え	150358010
7	肺悪性腫瘍手術（肺全摘）　　　　　　　　	150358110
7	肺悪性腫瘍手術（隣接臓器合併切除を伴う肺	150358210
7	肺悪性腫瘍手術（気管支形成を伴う肺切除）	150358310
7	心膜切開術　　　　　　　　　　　　　　　	150138410
7	収縮性心膜炎手術　　　　　　　　　　　　	150138710
7	心腫瘍摘出術（単独）　　　　　　　　　　	150140810
7	弁形成術（１弁のもの）　　　　　　　　　	150141010
7	弁形成術（２弁のもの）　　　　　　　　　	150279510
7	弁置換術（１弁のもの）　　　　　　　　　	150141410
7	弁置換術（２弁のもの）　　　　　　　　　	150141610
7	弁置換術（３弁のもの）　　　　　　　　　	150141710
7	心房中隔欠損閉鎖術（単独）　　　　　　　	150141810
7	冠動脈、大動脈バイパス移植術（１吻合）　	150145910
7	冠動脈、大動脈バイパス移植術（人工心肺を	150318410
7	冠動脈、大動脈バイパス移植術（２吻合以上	150146010
7	冠動脈、大動脈バイパス移植術（人工心肺を	150318510
7	動脈塞栓除去術（開胸を伴う）　　　　　　	150149010
7	大動脈瘤切除術（上行）人工弁置換を伴う基	150359510
7	大動脈瘤切除術（吻合又は移植を含む）上行	150375870
7	大動脈瘤切除術（胸腹部大動脈）　　　　　	150264810
7	動脈形成術、吻合術（胸腔内動脈）大動脈を	150150410
5	食道悪性腫瘍手術（消化管再建手術を併施）	150135310
5	大動脈瘤切除術（腹部大動脈）分岐血管の再	150245110
5	血管移植術、バイパス移植術（大動脈）　　	150152210
